doc_number,document_id,title,authors,organization,venue,year,document_type,pdf_path,doi_or_url,pdf_url,source_api,external_id,total_pages,topics,countries,regions,sectors,climate_risks,technologies,policies,targets,indicators,abstract
D001,cuzzolin_2023_reasoning_random_sets_agenda_future_2401_09435v1,Reasoning with random sets: An agenda for the future,Fabio Cuzzolin,arXiv,arXiv,2023,Research Paper,data/pdfs/cuzzolin_2023_reasoning_random_sets_agenda_future_2401_09435v1.pdf,http://arxiv.org/abs/2401.09435v1,https://arxiv.org/pdf/2401.09435v1.pdf,arXiv,2401.09435v1,94,climate AI; policy and governance,,Europe,,,machine learning,Nationally Determined Contributions,,,"In this paper, we discuss a potential agenda for future work in the theory of random sets and belief functions, touching upon a number of focal issues: the development of a fully-fledged theory of statistical reasoning with random sets, including the generalisation of logistic regression and of the classical laws of probability; the further development of the geometric approach to uncertainty, to include general random sets, a wider range of uncertainty measures and alternative geometric representations; the application of this new theory to high-impact areas such as climate change, machine learning and statistical learning theory."
D002,staffell_2018_role_hydrogen_fuel_cells_global_energy_system_w2905218447,The role of hydrogen and fuel cells in the global energy system,Iain Staffell; Daniel Scamman; Anthony Velazquez Abad; Paul Balcombe; Paul E. Dodds; Paul Ekins; Nilay Shah; Kate R. Ward,Energy & Environmental Science,Energy & Environmental Science,2018,Journal Article,data/pdfs/staffell_2018_role_hydrogen_fuel_cells_global_energy_system_w2905218447.pdf,https://doi.org/10.1039/c8ee01157e,https://pubs.rsc.org/en/content/articlepdf/2019/ee/c8ee01157e,OpenAlex,W2905218447,29,carbon capture; climate science; energy transition; mitigation; policy and governance; renewable energy,Global; United States,Europe; Global,buildings; energy; industry; infrastructure; transport,emissions,battery storage; carbon capture; electric vehicles; green hydrogen; machine learning,Nationally Determined Contributions,,,
D003,friedlingstein_2020_global_carbon_budget_2020_w3093432062,Global Carbon Budget 2020,Pierre Friedlingstein; Michael O’Sullivan; Matthew W. Jones; Robbie M. Andrew; Judith Hauck; Are Olsen; Glen P. Peters; Wouter Peters; Julia Pongratz; Stephen Sitch; Corinne Le Quéré; Josep G. Canadell; Philippe Ciais; Robert B. Jackson; Simone R. Alin; Luiz E. O. C. Aragão; Almut Arneth; Vivek Arora; Nicholas R. Bates; Meike Becker; Alice Benoit-Cattin; Henry C. Bittig; Laurent Bopp; Selma Bultan; Naveen Chandra; Frédéric Chevallier; Louise Chini; Wiley Evans; Liesbeth Florentie; Piers Forster; Thomas Gasser; Marion Gehlen; Dennis Gilfillan; Thanos Gkritzalis; Luke Gregor; Nicolas Gruber; Ian Harris; Kerstin Hartung; Vanessa Haverd; R. A. Houghton; Tatiana Ilyina; Atul K. Jain; Émilie Joetzjer; Koji Kadono; Etsushi Kato; Vassilis Kitidis; Jan Ivar Korsbakken; Peter Landschützer; Nathalie Lefèvre; Andrew Lenton; Sebastian Lienert; Zhu Liu; Danica Lombardozzi; Gregg Marland; Nicolas Metzl; David R. Munro; Julia E. M. S. Nabel; Shin‐Ichiro Nakaoka; Yosuke Niwa; Kevin O’Brien; Tsuneo Ono; Paul I. Palmer; Denis Pierrot; Benjamin Poulter; Laure Resplandy; Eddy Robertson; Christian Rödenbeck; Jörg Schwinger; Roland Séférian; Ingunn Skjelvan; Adam J. P. Smith; Adrienne J. Sutton; Toste Tanhua; Pieter P. Tans; Hanqin Tian; Bronte Tilbrook; Guido R. van der Werf; Nicolas Vuichard; Anthony P. Walker; Rik Wanninkhof; Andrew Watson; David Willis; A. Wiltshire; Wenping Yuan; Xu Yue; Sönke Zaehle,Earth system science data,Earth system science data,2020,Journal Article,data/pdfs/friedlingstein_2020_global_carbon_budget_2020_w3093432062.pdf,https://doi.org/10.5194/essd-12-3269-2020,https://essd.copernicus.org/articles/12/3269/2020/essd-12-3269-2020.pdf,OpenAlex,W3093432062,72,,China; Germany; Global; United States,Europe; Global,energy; water,,machine learning,Nationally Determined Contributions,,,
D004,friedlingstein_2022_global_carbon_budget_2022_w4308697725,Global Carbon Budget 2022,Pierre Friedlingstein; Michael O’Sullivan; Matthew W. Jones; Robbie M. Andrew; Luke Gregor; Judith Hauck; Corinne Le Quéré; Ingrid T. Luijkx; Are Olsen; Glen P. Peters; Wouter Peters; Julia Pongratz; Clemens Schwingshackl; Stephen Sitch; Josep G. Canadell; Philippe Ciais; Robert B. Jackson; Simone R. Alin; Ramdane Alkama; Almut Arneth; Vivek Arora; Nicholas R. Bates; Meike Becker; Nicolas Bellouin; Henry C. Bittig; Laurent Bopp; Frédéric Chevallier; Louise Chini; Margot Cronin; Wiley Evans; Stefanie Falk; Richard A. Feely; Thomas Gasser; Marion Gehlen; Thanos Gkritzalis; Lucas Gloege; Giacomo Grassi; Nicolas Gruber; Özgür Gürses; Ian Harris; Matthew Hefner; R. A. Houghton; G. C. Hurtt; Yosuke Iida; Tatiana Ilyina; Atul K. Jain; Annika Jersild; Koji Kadono; Etsushi Kato; Daniel Kennedy; Kees Klein Goldewijk; Jürgen Knauer; Jan Ivar Korsbakken; Peter Landschützer; Nathalie Lefèvre; Keith Lindsay; Junjie Liu; Zhu Liu; Gregg Marland; Nicolas Mayot; Matthew J. McGrath; Nicolas Metzl; Natalie Monacci; David R. Munro; Shin‐Ichiro Nakaoka; Yosuke Niwa; Kevin O’Brien; Tsuneo Ono; Paul I. Palmer; Naiqing Pan; Denis Pierrot; Katie Pocock; Benjamin Poulter; Laure Resplandy; Eddy Robertson; Christian Rödenbeck; Carmen Dolores Arbelo Rodríguez; Thais M. Rosan; Jörg Schwinger; Roland Séférian; Jamie D. Shutler; Ingunn Skjelvan; Tobias Steinhoff; Qing Sun; Adrienne J. Sutton; Colm Sweeney; Shintaro Takao; Toste Tanhua; Pieter P. Tans; Xiangjun Tian; Hanqin Tian; Bronte Tilbrook; Hiroyuki Tsujino; Francesco N. Tubiello; Guido R. van der Werf; Anthony P. Walker; Rik Wanninkhof; Chris Whitehead; Anna Willstrand Wranne; Rebecca Wright,Earth system science data,Earth system science data,2022,Journal Article,data/pdfs/friedlingstein_2022_global_carbon_budget_2022_w4308697725.pdf,https://doi.org/10.5194/essd-14-4811-2022,https://essd.copernicus.org/articles/14/4811/2022/essd-14-4811-2022.pdf,OpenAlex,W4308697725,90,climate science,China; Germany; Global; United States,Europe; Global,energy,,machine learning,Nationally Determined Contributions,,,
D005,bl_schl_2019_changing_climate_both_increases_decreases_european_river_floods_w2970830005,Changing climate both increases and decreases European river floods,Günter Blöschl; Julia Hall; Alberto Viglione; Rui A. P. Perdigão; Juraj Párajka; Bruno Merz; David Lun; Berit Arheimer; Giuseppe Tito Aronica; Ardian Bilibashi; Miloň Boháč; Ognjen Bonacci; Marco Borga; Ivan Čanjevac; Attilio Castellarin; Giovanni Battista Chirico; Pierluigi Claps; Н. Л. Фролова; Daniele Ganora; Liudmyla Gorbachova; Ali Gül; Jamie Hannaford; Shaun Harrigan; Maria Kireeva; Andrea Kiss; Thomas Kjeldsen; Silvia Kohnová; Jarkko Koskela; Ondřej Ledvinka; Neil Macdonald; Maria Mavrova-Guirguinova; Luis Mediero; Ralf Merz; Péter Molnár; Alberto Montanari; Conor Murphy; Marzena Osuch; Valeriya Ovcharuk; Иван Радевски; José Luis Salinas; Éric Sauquet; Mojca Šraj; Ján Szolgay; Elena Volpi; Donna Wilson; Klodian Zaımı; Nenad Živković,Nature,Nature,2019,Journal Article,data/pdfs/bl_schl_2019_changing_climate_both_increases_decreases_european_river_floods_w2970830005.pdf,https://doi.org/10.1038/s41586-019-1495-6,https://purehost.bath.ac.uk/ws/files/196563679/Nature_Floods_Revision_4au.pdf,OpenAlex,W2970830005,24,policy and governance; renewable energy,Germany,Europe,agriculture; energy; infrastructure; water,flooding,electric vehicles,,,,
D006,ross_2019_designing_materials_electrochemical_carbon_dioxide_recycling_w2954959763,Designing materials for electrochemical carbon dioxide recycling,Michael B. Ross; Phil De Luna; Yifan Li; Cao‐Thang Dinh; Dohyung Kim; Peidong Yang; Edward H. Sargent,Nature Catalysis,Nature Catalysis,2019,Journal Article,data/pdfs/ross_2019_designing_materials_electrochemical_carbon_dioxide_recycling_w2954959763.pdf,https://doi.org/10.1038/s41929-019-0306-7,https://utoronto.scholaris.ca/bitstreams/9e2f6ba1-b9bd-4113-97cc-7d7e6552ece5/download,OpenAlex,W2954959763,47,,,,,emissions,,,,,
D007,christensen_2021_mandatory_csr_sustainability_reporting_economic_literature_review_w3159759907,Mandatory CSR and sustainability reporting: economic analysis and literature review,Hans Bonde Christensen; Luzi Hail; Christian Leuz,Review of Accounting Studies,Review of Accounting Studies,2021,Journal Article,data/pdfs/christensen_2021_mandatory_csr_sustainability_reporting_economic_literature_review_w3159759907.pdf,https://doi.org/10.1007/s11142-021-09609-5,https://link.springer.com/content/pdf/10.1007/s11142-021-09609-5.pdf,OpenAlex,W3159759907,73,climate finance; policy and governance; sustainability,Global; United States,Europe; Global,finance; health; industry; water,emissions,,,,climate finance,
D008,ivanov_2020_viable_supply_chain_integrating_agility_resilience_sustainability_perspectives_w3026347338,"Viable supply chain model: integrating agility, resilience and sustainability perspectives—lessons from and thinking beyond the COVID-19 pandemic",Dmitry Ivanov,Annals of Operations Research,Annals of Operations Research,2020,Journal Article,data/pdfs/ivanov_2020_viable_supply_chain_integrating_agility_resilience_sustainability_perspectives_w3026347338.pdf,https://doi.org/10.1007/s10479-020-03640-6,https://link.springer.com/content/pdf/10.1007/s10479-020-03640-6.pdf,OpenAlex,W3026347338,21,adaptation; sustainability,Germany; Global; Oman,Europe; Global,industry,,electric vehicles,Nationally Determined Contributions,,,
D009,gr_bler_2018_low_energy_demand_scenario_meeting_1_5_c_w2800190939,A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies,Arnulf Grübler; Charlie Wilson; Nuno Bento; Benigna Boza‐Kiss; Volker Krey; David McCollum; Narasimha D. Rao; Keywan Riahi; Joeri Rogelj; Simon De Stercke; Jonathan M. Cullen; Stefan Frank; Oliver Fricko; Fei Guo; Matt Gidden; Peter Havlík; Daniel Huppmann; Gregor Kiesewetter; Peter Rafaj; W. Schoepp; Hugo Valin,Nature Energy,Nature Energy,2018,Journal Article,data/pdfs/gr_bler_2018_low_energy_demand_scenario_meeting_1_5_c_w2800190939.pdf,https://doi.org/10.1038/s41560-018-0172-6,http://pure.iiasa.ac.at/id/eprint/15301/2/LED_SI_REVISED_NoTrack_Submit.pdf,OpenAlex,W2800190939,121,mitigation; sustainability,Global,Global,agriculture; buildings; energy; industry; transport,emissions,,,Limit Warming to 1.5C; Reduce Emissions,energy efficiency,
D010,hassani_2021_global_predictions_primary_soil_salinization_under_changing_climate_w3212566395,Global predictions of primary soil salinization under changing climate in the 21st century,Amirhossein Hassani; Adisa Azapagic; Nima Shokri,Nature Communications,Nature Communications,2021,Journal Article,data/pdfs/hassani_2021_global_predictions_primary_soil_salinization_under_changing_climate_w3212566395.pdf,https://doi.org/10.1038/s41467-021-26907-3,https://www.nature.com/articles/s41467-021-26907-3.pdf,OpenAlex,W3212566395,17,climate science; policy and governance; renewable energy,Germany; Global; United States,Africa; Europe; Global,agriculture; health; transport; water,drought; flooding,forecasting,,,sea level; temperature rise,
D011,jung_2020_scaling_carbon_fluxes_eddy_covariance_sites_globe_synthesis_w2978485176,Scaling carbon fluxes from eddy covariance sites to globe: synthesis and evaluation of the FLUXCOM approach,Martin Jung; Christopher R. Schwalm; Mirco Migliavacca; Sophia Walther; Gustau Camps‐Valls; Sujan Koirala; Peter Anthoni; Simon Besnard; Paul Bodesheim; Nuno Carvalhais; Frédéric Chevallier; Fabian Gans; Daniel S. Goll; Vanessa Haverd; Philipp Köhler; Kazuhito Ichii; Atul K. Jain; Junzhi Liu; Danica Lombardozzi; Julia E. M. S. Nabel; Jacob A. Nelson; Michael O’Sullivan; Martijn Pallandt; Dario Papale; Wouter Peters; Julia Pongratz; Christian Rödenbeck; Stephen Sitch; Gianluca Tramontana; Anthony P. Walker; Ulrich Weber; Markus Reichstein,Biogeosciences,Biogeosciences,2020,Journal Article,data/pdfs/jung_2020_scaling_carbon_fluxes_eddy_covariance_sites_globe_synthesis_w2978485176.pdf,https://doi.org/10.5194/bg-17-1343-2020,https://bg.copernicus.org/articles/17/1343/2020/bg-17-1343-2020.pdf,OpenAlex,W2978485176,23,climate AI,China; Germany; Global; Oman; Saudi Arabia; United States,Europe; Global,agriculture; water,emissions,machine learning,Nationally Determined Contributions,,,
D012,tramontana_2016_predicting_carbon_dioxide_energy_fluxes_across_global_fluxnet_w2298779432,Predicting carbon dioxide and energy fluxes across global FLUXNET sites withregression algorithms,Gianluca Tramontana; Martin Jung; Christopher R. Schwalm; Kazuhito Ichii; Gustau Camps‐Valls; Botond Ráduly; Markus Reichstein; M. Altaf Arain; Alessandro Cescatti; Gerard Kiely; Lutz Merbold; Penélope Serrano-Ortíz; Sven Sickert; Sebastian Wolf; Dario Papale,Biogeosciences,Biogeosciences,2016,Journal Article,data/pdfs/tramontana_2016_predicting_carbon_dioxide_energy_fluxes_across_global_fluxnet_w2298779432.pdf,https://doi.org/10.5194/bg-13-4291-2016,https://www.biogeosciences.net/13/4291/2016/bg-13-4291-2016.pdf,OpenAlex,W2298779432,23,climate AI; climate science,Germany; Global; Oman; United States,Europe; Global,energy; water,emissions,deep learning; forecasting; machine learning; remote sensing,,,,
D013,huang_2023_evaluating_loss_functions_learning_data_pre_processing_climate_2306_11144v1,Evaluating Loss Functions and Learning Data Pre-Processing for Climate Downscaling Deep Learning Models,Xingying Huang,arXiv,arXiv,2023,Research Paper,data/pdfs/huang_2023_evaluating_loss_functions_learning_data_pre_processing_climate_2306_11144v1.pdf,http://arxiv.org/abs/2306.11144v1,https://arxiv.org/pdf/2306.11144v1.pdf,arXiv,2306.11144v1,6,climate AI; climate science,Global,Global,energy,,climate downscaling; deep learning; electric vehicles; forecasting,Nationally Determined Contributions,,,"Deep learning models have gained popularity in climate science, following their success in computer vision and other domains. For instance, researchers are increasingly employing deep learning techniques for downscaling climate data, drawing inspiration from image super-resolution models. However, there are notable differences between image data and climate data. While image data typically falls within a specific range (e.g., [0, 255]) and exhibits a relatively uniform or normal distribution, climate data can possess arbitrary value ranges and highly uneven distributions, such as precipitation data. This non-uniform distribution presents challenges when attempting to directly apply existing computer vision models to climate science tasks. Few studies have addressed this issue thus far. In this study, we explore the effects of loss functions and non-linear data pre-processing methods for deep learning models in the context of climate downscaling. We employ a climate downscaling experiment as an example to evaluate these factors. Our findings reveal that L1 loss and L2 loss perform similarly on some more balanced data like temperature data while for some imbalanced data like precipitation data, L2 loss performs significantly better than L1 loss. Additionally, we propose an approach to automatically learn the non-linear pre-processing function, which further enhances model accuracy and achieves the best results."
D014,yumashev_2019_climate_policy_implications_nonlinear_decline_arctic_land_permafrost_w2942489120,Climate policy implications of nonlinear decline of Arctic land permafrost and other cryosphere elements,Dmitry Yumashev; Chris Hope; Kevin Schaefer; Kathrin Riemann‐Campe; Fernando Iglesias‐Suarez; Elchin Jafarov; Eleanor Burke; Paul J. Young; Yasin Elshorbany; Gail Whiteman,Nature Communications,Nature Communications,2019,Journal Article,data/pdfs/yumashev_2019_climate_policy_implications_nonlinear_decline_arctic_land_permafrost_w2942489120.pdf,https://doi.org/10.1038/s41467-019-09863-x,https://www.nature.com/articles/s41467-019-09863-x.pdf,OpenAlex,W2942489120,11,climate science; mitigation; policy and governance; renewable energy; sustainability,Germany; Global; Saudi Arabia; United States,Europe; Global,health,emissions,forecasting,Nationally Determined Contributions; Paris Agreement,Limit Warming to 1.5C,temperature rise,
D015,shepherd_2018_storylines_alternative_representing_uncertainty_physical_aspects_climate_change_w2899835277,Storylines: an alternative approach to representing uncertainty in physical aspects of climate change,Theodore G. Shepherd; Emily Boyd; Raphael Calel; S. C. Chapman; Suraje Dessai; Ioana Dima-West; Hayley J. Fowler; Rachel James; Douglas Maraun; Olivia Martius; C. A. Senior; Adam H. Sobel; David A. Stainforth; Simon F. B. Tett; Kevin E. Trenberth; Bart van den Hurk; N. W. Watkins; Robert L. Wilby; Dimitri Zenghelis,Climatic Change,Climatic Change,2018,Journal Article,data/pdfs/shepherd_2018_storylines_alternative_representing_uncertainty_physical_aspects_climate_change_w2899835277.pdf,https://doi.org/10.1007/s10584-018-2317-9,https://link.springer.com/content/pdf/10.1007/s10584-018-2317-9.pdf,OpenAlex,W2899835277,17,,Global,Europe; Global,agriculture; energy,climate vulnerability; emissions,forecasting,,,,
D016,viviroli_2011_climate_change_mountain_water_resources_overview_recommendations_research_w2108614290,"Climate change and mountain water resources: overview and recommendations for research, management and policy",Daniel Viviroli; David Archer; Wouter Buytaert; Hayley J. Fowler; Gregory B. Greenwood; Alan F. Hamlet; Yan Huang; Gernot Koboltschnig; M. Iggy Litaor; Juan Ignacio López‐Moreno; Simon Lorentz; Bruno Schädler; Hans Schreier; Karl Schwaiger; Mathias Vuille; Ross Woods,Hydrology and earth system sciences,Hydrology and earth system sciences,2011,Journal Article,data/pdfs/viviroli_2011_climate_change_mountain_water_resources_overview_recommendations_research_w2108614290.pdf,https://doi.org/10.5194/hess-15-471-2011,https://hess.copernicus.org/articles/15/471/2011/hess-15-471-2011.pdf,OpenAlex,W2108614290,34,adaptation; climate science; policy and governance; sustainability,China; Global; United States,Africa; Europe; Global,agriculture; energy; industry; water,climate vulnerability; water scarcity,machine learning,Nationally Determined Contributions,,temperature rise; water demand,
D017,cannon_2017_multivariate_quantile_mapping_bias_correction_n_dimensional_probability_w2597689547,Multivariate quantile mapping bias correction: an N-dimensional probability density function transform for climate model simulations of multiple variables,Alex J. Cannon,Climate Dynamics,Climate Dynamics,2017,Journal Article,data/pdfs/cannon_2017_multivariate_quantile_mapping_bias_correction_n_dimensional_probability_w2597689547.pdf,https://doi.org/10.1007/s00382-017-3580-6,https://link.springer.com/content/pdf/10.1007%2Fs00382-017-3580-6.pdf,OpenAlex,W2597689547,19,adaptation; climate science,Global,Global,,drought,forecasting,,,,
D018,mccollum_2018_energy_investment_needs_fulfilling_paris_agreement_achieving_sustainable_w2808387346,Energy investment needs for fulfilling the Paris Agreement and achieving the Sustainable Development Goals,David McCollum; Wenji Zhou; Christoph Bertram; Harmen Sytze de Boer; Valentina Bosetti; Sebastian Busch; Jacques Després; Laurent Drouet; Johannes Emmerling; Marianne Fay; Oliver Fricko; Shinichiro Fujimori; Matthew Gidden; Mathijs Harmsen; Daniel Huppmann; Gokul Iyer; Volker Krey; Elmar Kriegler; Claire Nicolas; Shonali Pachauri; Simon Parkinson; Miguel Poblete-Cazenave; Peter Rafaj; Narasimha D. Rao; Julie Rozenberg; Andreas Schmitz; W. Schoepp; Detlef P. van Vuuren; Keywan Riahi,Nature Energy,Nature Energy,2018,Journal Article,data/pdfs/mccollum_2018_energy_investment_needs_fulfilling_paris_agreement_achieving_sustainable_w2808387346.pdf,https://doi.org/10.1038/s41560-018-0179-z,https://pure.iiasa.ac.at/id/eprint/15328/1/Investments_paper_Main_and_Methods_combined_v3_3_ACCEPTED-DRAFT.pdf,OpenAlex,W2808387346,23,climate finance; climate science; policy and governance; renewable energy; sustainability,Germany; Global; United States,Europe; Global,agriculture; energy; finance,emissions; food insecurity,,Nationally Determined Contributions; Paris Agreement,,climate finance; energy efficiency; temperature rise,
D019,morelli_2016_managing_climate_change_refugia_climate_adaptation_w2499516979,Managing Climate Change Refugia for Climate Adaptation,Toni Lyn Morelli; Christopher Daly; Solomon Z. Dobrowski; Deanna Dulen; Joseph L. Ebersole; Stephen T. Jackson; Jessica D. Lundquist; Constance I. Millar; Sean P. Maher; William B. Monahan; Koren R. Nydick; Kelly T. Redmond; Sarah C. Sawyer; Sarah Stock; Steven R. Beissinger,PLoS ONE,PLoS ONE,2016,Journal Article,data/pdfs/morelli_2016_managing_climate_change_refugia_climate_adaptation_w2499516979.pdf,https://doi.org/10.1371/journal.pone.0159909,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0159909&type=printable,OpenAlex,W2499516979,17,adaptation; climate science; policy and governance,Oman; United States,Europe,health,drought,,Nationally Determined Contributions,,sea level,
D020,dolan_2021_evaluating_economic_impact_water_scarcity_changing_world_w3138842059,Evaluating the economic impact of water scarcity in a changing world,Flannery Dolan; Jonathan Lamontagne; Robert Link; Mohamad Hejazi; Patrick M. Reed; Jae Edmonds,Nature Communications,Nature Communications,2021,Journal Article,data/pdfs/dolan_2021_evaluating_economic_impact_water_scarcity_changing_world_w3138842059.pdf,https://doi.org/10.1038/s41467-021-22194-0,https://www.nature.com/articles/s41467-021-22194-0.pdf,OpenAlex,W3138842059,10,adaptation,Global; United States,Europe; Global,agriculture; energy; industry; infrastructure; transport; water,drought; water scarcity,,Nationally Determined Contributions,,water demand,
D021,tschakert_2010_anticipatory_learning_climate_change_adaptation_resilience_w64794879,Anticipatory Learning for Climate Change Adaptation and Resilience,Petra Tschakert; Kathleen Ann Dietrich,Ecology and Society,Ecology and Society,2010,Journal Article,data/pdfs/tschakert_2010_anticipatory_learning_climate_change_adaptation_resilience_w64794879.pdf,https://doi.org/10.5751/es-03335-150211,https://www.ecologyandsociety.org/vol15/iss2/art11/ES-2009-3335.pdf,OpenAlex,W64794879,23,adaptation; climate science; policy and governance,Global,Africa; Europe; Global; Global South,energy,climate vulnerability,forecasting; machine learning,,,,
D022,mango_2011_land_use_climate_change_impacts_hydrology_upper_mara_w2170600628,"Land use and climate change impacts on the hydrology of the upper Mara River Basin, Kenya: results of a modeling study to support better resource management",L. M. Mango; Assefa M. Melesse; Michael E. McClain; Daniel Gann; Shimelis Gebriye Setegn,Hydrology and earth system sciences,Hydrology and earth system sciences,2011,Journal Article,data/pdfs/mango_2011_land_use_climate_change_impacts_hydrology_upper_mara_w2170600628.pdf,https://doi.org/10.5194/hess-15-2245-2011,https://hess.copernicus.org/articles/15/2245/2011/hess-15-2245-2011.pdf,OpenAlex,W2170600628,14,adaptation; climate science,Global; United States,Africa; Europe; Global,agriculture; energy; industry; water,drought,forecasting; machine learning,Nationally Determined Contributions,,temperature rise,
D023,o_brien_2018_exploring_youth_activism_climate_change_dutiful_disruptive_dangerous_w2889967009,"Exploring youth activism on climate change: dutiful, disruptive, and dangerous dissent",Karen O’Brien; Elin Selboe; Bronwyn Hayward,Ecology and Society,Ecology and Society,2018,Journal Article,data/pdfs/o_brien_2018_exploring_youth_activism_climate_change_dutiful_disruptive_dangerous_w2889967009.pdf,https://doi.org/10.5751/es-10287-230342,https://www.ecologyandsociety.org/vol23/iss3/art42/ES-2018-10287.pdf,OpenAlex,W2889967009,13,adaptation; climate science; policy and governance; sustainability,Global,Global,energy,emissions,,Paris Agreement,,sea level,
D024,sch_r_2019_kilometer_scale_climate_prospects_challenges_w2981627152,Kilometer-Scale Climate Models: Prospects and Challenges,Christoph Schär; Oliver Fuhrer; Andrea Arteaga; Nikolina Ban; Christophe Charpilloz; Salvatore Di Girolamo; Laureline Hentgen; Torsten Hoefler; Xavier Lapillonne; David Leutwyler; Katherine Osterried; Davide Panosetti; Stefan Rüdisühli; Linda Schlemmer; T. C. Schulthess; Michael Sprenger; Stefano Ubbiali; Heini Wernli,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,2019,Journal Article,data/pdfs/sch_r_2019_kilometer_scale_climate_prospects_challenges_w2981627152.pdf,https://doi.org/10.1175/bams-d-18-0167.1,https://journals.ametsoc.org/downloadpdf/journals/bams/101/5/bams-d-18-0167.1.pdf,OpenAlex,W2981627152,21,adaptation; climate science; policy and governance; sea level rise,Germany; Global; United States,Europe; Global,agriculture; water,sea level rise,forecasting,,,sea level; temperature rise,
D025,ranger_2013_addressing_deep_uncertainty_over_long_term_climate_major_w2008186875,Addressing ‘deep’ uncertainty over long-term climate in major infrastructure projects: four innovations of the Thames Estuary 2100 Project,Nicola Ranger; Tim Reeder; Jason Lowe,EURO Journal on Decision Processes,EURO Journal on Decision Processes,2013,Journal Article,data/pdfs/ranger_2013_addressing_deep_uncertainty_over_long_term_climate_major_w2008186875.pdf,https://doi.org/10.1007/s40070-013-0014-5,https://link.springer.com/content/pdf/10.1007%2Fs40070-013-0014-5.pdf,OpenAlex,W2008186875,30,adaptation; climate finance; climate science; sea level rise,,Europe,buildings; energy; finance; infrastructure; water,flooding; sea level rise,,,,climate finance; sea level,
D026,masson_2020_urban_climates_climate_change_w3049727136,Urban Climates and Climate Change,Valéry Masson; Aude Lemonsu; Julia Hidalgo; James Voogt,Annual Review of Environment and Resources,Annual Review of Environment and Resources,2020,Journal Article,data/pdfs/masson_2020_urban_climates_climate_change_w3049727136.pdf,https://doi.org/10.1146/annurev-environ-012320-083623,https://www.annualreviews.org/doi/pdf/10.1146/annurev-environ-012320-083623,OpenAlex,W3049727136,34,adaptation; climate science; policy and governance,Global,Europe; Global,energy; infrastructure; water,,climate downscaling,Nationally Determined Contributions,,temperature rise,
D027,kanter_2016_evaluating_agricultural_trade_offs_age_sustainable_development_w2536993208,Evaluating agricultural trade-offs in the age of sustainable development,David Kanter; Mark Musumba; Sylvia Wood; Cheryl Palm; John M. Antle; Patricia Balvanera; Virginia H. Dale; Peter Havlík; Keith L. Kline; Robert J. Scholes; Philip K. Thornton; Pablo Tittonell; Sandy J. Andelman,Agricultural Systems,Agricultural Systems,2016,Journal Article,data/pdfs/kanter_2016_evaluating_agricultural_trade_offs_age_sustainable_development_w2536993208.pdf,https://doi.org/10.1016/j.agsy.2016.09.010,https://www.osti.gov/servlets/purl/1468290,OpenAlex,W2536993208,56,policy and governance; sustainability,Global; United States,Africa; Global,agriculture; energy; health; water,food insecurity,,,,,
D028,steenwerth_2014_climate_smart_agriculture_global_research_agenda_scientific_basis_w2113355006,Climate-smart agriculture global research agenda: scientific basis for action,Kerri L. Steenwerth; Amanda K. Hodson; Arnold J. Bloom; Michael R. Carter; Andrea Cattaneo; C.J. Chartres; Jerry L. Hatfield; Kevin Henry; J. W. Hopmans; William R. Horwáth; Bryan M. Jenkins; E. Kebreab; Rik Leemans; Leslie Lipper; Mark Lubell; Siwa Msangi; Ravi Prabhu; Matthew Reynolds; Samuel Sandoval-Solís; William M. Sischo; Michael Springborn; Pablo Tittonell; Stephen M. Wheeler; Sonja Vermeulen; Eva Wollenberg; Lovell S. Jarvis; Louise E. Jackson,Agriculture & Food Security,Agriculture & Food Security,2014,Journal Article,data/pdfs/steenwerth_2014_climate_smart_agriculture_global_research_agenda_scientific_basis_w2113355006.pdf,https://doi.org/10.1186/2048-7010-3-11,https://agricultureandfoodsecurity.biomedcentral.com/counter/pdf/10.1186/2048-7010-3-11,OpenAlex,W2113355006,39,adaptation; climate finance; climate science; mitigation; policy and governance; sustainability,Global; United States,Europe; Global; Global South,agriculture; energy; finance; water,climate vulnerability; drought; emissions; flooding; food insecurity,forecasting,,,climate finance; temperature rise,
